iter	RMSE
0	0.9320837641
1	0.9230358158
2	0.9147934577
3	0.9070642535
4	0.8997543067
5	0.8928059554
6	0.8866147287
7	0.8809607977
8	0.8756880479
9	0.8704714285
10	0.8655969084
11	0.8610199787
12	0.8567945349
13	0.8529617136
14	0.8494666295
15	0.8461977227
16	0.8431331464
17	0.8396306852
18	0.8362850329
19	0.8334003749
20	0.8311330588
21	0.8285768814
22	0.8264318383
23	0.8240864576
24	0.822106946
25	0.8200332263
26	0.8182996137
27	0.8162013848
28	0.8143966245
29	0.8126413339
30	0.811188565
31	0.809441117
32	0.8079717565
33	0.8065663946
34	0.805211581
35	0.8036331888
36	0.8023347685
37	0.800922076
38	0.7994280182
39	0.7983991959
40	0.7974519562
41	0.7962047017
42	0.7949730161
43	0.7938683475
44	0.7926362347
45	0.7915220537
46	0.7904709583
47	0.789516268
48	0.7886164787
49	0.7878098762
50	0.7868228322
51	0.7856372646
52	0.7845054257
53	0.7839230521
54	0.783108955
55	0.7822175675
56	0.7814588887
57	0.7807860289
58	0.7801026992
59	0.7794115452
60	0.7786465789
61	0.7778561282
62	0.7772439373
63	0.7765744256
64	0.7756642399
65	0.7748879287
66	0.7739411449
67	0.7733237921
68	0.7727111278
69	0.7721672018
70	0.7712993805
71	0.770667958
72	0.7698489773
73	0.7693322236
74	0.7687202738
75	0.7681387306
76	0.7674335782
77	0.7669117164
78	0.7663545844
79	0.7659189487
80	0.7653415717
81	0.7649342547
82	0.764227253
83	0.7636372581
84	0.7630070036
85	0.7623511638
86	0.7616641594
87	0.7611292323
88	0.7606723742
89	0.7600550796
90	0.7594898747
91	0.7590719989
92	0.7584982936
93	0.7578971817
94	0.7572777538
95	0.756798613
96	0.7563566557
97	0.7557189079
98	0.7550848462
99	0.7544760099
100	0.7540923507
101	0.7536638805
102	0.7529801901
103	0.7522723822
104	0.7519890725
105	0.7516042738
106	0.7512070149
107	0.7507767245
108	0.7504661312
109	0.7499687059
110	0.7494930144
111	0.7490445737
112	0.7485731218
113	0.7480978918
114	0.7475614436
115	0.747205558
116	0.7467114535
117	0.7463930192
118	0.745881007
119	0.7454157642
120	0.7448977926
121	0.7445692267
122	0.7440631344
123	0.7436689819
124	0.743070155
125	0.742537834
126	0.7419913995
127	0.7415083954
128	0.7410285908
129	0.7405863211
130	0.7400769333
131	0.7395558827
132	0.7390420408
133	0.7386922963
134	0.7382124251
135	0.7377520756
136	0.7371956028
137	0.7366252978
138	0.7361759168
139	0.7359275035
140	0.7355103369
141	0.7350394379
142	0.734600453
143	0.7341186166
144	0.7337420144
145	0.7331979708
146	0.732552237
147	0.7320752332
148	0.7315240094
149	0.7311338494
150	0.7308297181
151	0.7305321886
152	0.7301463805
153	0.7297644276
154	0.7294175982
155	0.7290259537
156	0.7285896899
157	0.7282844514
158	0.7278799212
159	0.7276633461
160	0.7273213107
161	0.7269251335
162	0.7264842028
163	0.7261871566
164	0.7258287514
165	0.725273184
166	0.7250345942
167	0.7245657149
168	0.7242615447
169	0.7238308866
170	0.7235454833
171	0.7231301993
172	0.7227587934
173	0.7225574426
174	0.7221860125
175	0.7218947057
176	0.7214130692
177	0.7211484213
178	0.7207923655
179	0.7205019635
180	0.7199507859
181	0.7193979869
182	0.7190243136
183	0.7186822885
184	0.718416612
185	0.7180440827
186	0.7174829865
187	0.7171943536
188	0.7168004357
189	0.7163428441
190	0.7160207467
191	0.7156269332
192	0.7153062654
193	0.7149766213
194	0.7147742168
195	0.7144882256
196	0.714147515
197	0.7137725752
198	0.7134522374
199	0.7131654878
200	0.7127486545
201	0.7124476178
202	0.7121526931
203	0.7119860171
204	0.7116781627
205	0.7114772676
206	0.7109369963
207	0.7106334057
208	0.7103753501
209	0.7100915067
210	0.7096914905
211	0.7093858984
212	0.7091175194
213	0.7088872451
214	0.7086241667
215	0.708459739
216	0.7081472488
217	0.7077080727
218	0.7074575545
219	0.7071204997
220	0.7067945218
221	0.7065317008
222	0.7062041836
223	0.7058956061
224	0.7055953825
225	0.7052183191
226	0.7048420008
227	0.7044918428
228	0.7040039183
229	0.7036107581
230	0.7033159926
231	0.702877989
232	0.7026798128
233	0.7024121618
234	0.7018553351
235	0.7015876016
236	0.7013633487
237	0.7010422626
238	0.7007294377
239	0.700192798
240	0.6999312885
241	0.6996585151
242	0.6993497957
243	0.6990152346
244	0.6987148731
245	0.6982681096
246	0.6980179808
247	0.6976986911
248	0.69746341
249	0.6971690103
250	0.696817052
251	0.6965619158
252	0.6961767569
253	0.6959347637
254	0.6956014381
255	0.6952384324
256	0.6949792272
257	0.6947082346
258	0.6945345133
259	0.6943028953
260	0.694076148
261	0.6937429617
262	0.6935724013
263	0.6933570584
264	0.6931860273
265	0.6927115915
266	0.6923355043
267	0.6920208368
268	0.6917604495
269	0.6914608441
270	0.6911513125
271	0.6908964634
272	0.6906384331
273	0.6904314868
274	0.690220116
275	0.6899316372
276	0.689686792
277	0.6892574365
278	0.6889473165
279	0.6886249319
280	0.6883258298
281	0.6881097202
282	0.6878272659
283	0.6876649423
284	0.6874974905
285	0.687204103
286	0.6868991693
287	0.6867330476
288	0.6865318704
289	0.686271535
290	0.6858833502
291	0.6855209916
292	0.6851755449
293	0.6848731777
294	0.6846672464
295	0.6844635359
296	0.6842427812
297	0.6840750627
298	0.6838612036
299	0.6836196602
300	0.6832231079
301	0.6829321262
302	0.6827368141
303	0.6825214149
304	0.6822488854
305	0.6819522136
306	0.6817470234
307	0.6815772819
308	0.6813828234
309	0.6811162187
310	0.6808726736
311	0.6805120478
312	0.6803242707
313	0.6801238781
314	0.6799016904
315	0.6796468618
316	0.679396178
317	0.6790035591
318	0.6787371949
319	0.6784506946
320	0.6783049876
321	0.6780513113
322	0.6778500307
323	0.6776555835
324	0.6774714593
325	0.6772135051
326	0.6769563423
327	0.6765995948
328	0.6763106489
329	0.6760560797
330	0.6757314469
331	0.6755101275
332	0.6753463377
333	0.6750108506
334	0.6747525588
335	0.6746085381
336	0.6743687973
337	0.6741411878
338	0.6739085746
339	0.6736784903
340	0.6733731601
341	0.6731466889
342	0.6729744154
343	0.6728227327
344	0.6726441334
345	0.6724430254
346	0.6722152481
347	0.672055499
348	0.6718380319
349	0.6715216852
350	0.6712498303
351	0.6709248854
352	0.6706692912
353	0.6704292585
354	0.6702060182
355	0.6700171746
356	0.6698415206
357	0.6695795575
358	0.6692920311
359	0.6690792608
360	0.6688408233
361	0.6686726737
362	0.6684885587
363	0.6682567301
364	0.6679315475
365	0.6676916762
366	0.667447939
367	0.6671203128
368	0.6669019442
369	0.6666229315
370	0.6664313143
371	0.6663236504
372	0.6661324846
373	0.6657286451
374	0.6654400907
375	0.6651504079
376	0.6649150655
377	0.6646546624
378	0.6643381536
379	0.6640551715
380	0.6639155475
381	0.6636969092
382	0.6634232953
383	0.6632542385
384	0.6630912505
385	0.6628428997
386	0.6626483226
387	0.6624981329
388	0.6622916093
389	0.6620660184
390	0.6617939437
391	0.6615224706
392	0.6611856311
393	0.6610115453
394	0.6608420193
395	0.6606419503
396	0.6603376415
397	0.6600709942
398	0.6598375648
399	0.6596416819
400	0.6594469994
401	0.6593356278
402	0.65917214
403	0.658769148
404	0.6585008275
405	0.6582236937
406	0.6580150371
407	0.6577921612
408	0.6575734176
409	0.6573380861
410	0.6571915121
411	0.6569060709
412	0.6566517372
413	0.6564547052
414	0.6563176056
415	0.6561233509
416	0.6559377481
417	0.6557429837
418	0.655530409
419	0.655223776
420	0.6550212952
421	0.6547255607
422	0.6544457589
423	0.6542945071
424	0.6541137601
425	0.6538666543
426	0.6536569554
427	0.6533353429
428	0.6531395034
429	0.6530037019
430	0.6528096827
431	0.6526656828
432	0.6524562216
433	0.6522968484
434	0.6521387839
435	0.6519329732
436	0.6517741962
437	0.6515191083
438	0.6512984077
439	0.6511205036
440	0.6507939612
441	0.6506003337
442	0.6504452351
443	0.6502740308
444	0.6500828273
445	0.649826875
446	0.6496894791
447	0.6494382839
448	0.6491798211
449	0.6490074804
450	0.6487970138
451	0.6485672561
452	0.6483078937
453	0.6481584992
454	0.6478131532
455	0.6475700774
456	0.6473530088
457	0.647109735
458	0.6468962859
459	0.6466163684
460	0.6464725499
461	0.6462819343
462	0.6461628528
463	0.6459796793
464	0.6457601605
465	0.6455654014
466	0.645384429
467	0.6452121088
468	0.6449134915
469	0.6447616444
470	0.6446713673
471	0.6444953462
472	0.6442973502
473	0.6441613017
474	0.6440013921
475	0.6437098744
476	0.6435034672
477	0.6433605213
478	0.6431830533
479	0.6429920194
480	0.642798827
481	0.6424977961
482	0.6422980694
483	0.6421610396
484	0.6419830626
485	0.6418022212
486	0.6415764276
487	0.641439599
488	0.6412394665
489	0.6410948988
490	0.6408542273
491	0.6406051826
492	0.6404271544
493	0.6402136128
494	0.6400328056
495	0.6398359979
496	0.6396040136
497	0.6393466666
498	0.6391986662
499	0.6389939348
