iter	Passed	Remaining
0	37	18790
1	71	17864
2	102	16934
3	138	17166
4	173	17134
5	209	17255
6	247	17453
7	278	17120
8	311	16991
9	343	16836
10	377	16760
11	411	16742
12	447	16763
13	482	16755
14	523	16918
15	553	16729
16	586	16665
17	623	16696
18	655	16604
19	692	16631
20	728	16607
21	766	16660
22	794	16477
23	828	16434
24	859	16326
25	891	16253
26	925	16214
27	958	16153
28	996	16177
29	1030	16137
30	1058	16011
31	1092	15972
32	1130	16001
33	1171	16050
34	1203	15987
35	1241	15998
36	1277	15983
37	1312	15961
38	1344	15887
39	1379	15867
40	1417	15868
41	1447	15782
42	1480	15730
43	1520	15756
44	1552	15701
45	1588	15672
46	1622	15638
47	1655	15584
48	1683	15494
49	1711	15405
50	1743	15349
51	1780	15343
52	1813	15297
53	1849	15276
54	1881	15221
55	1913	15174
56	1950	15157
57	1982	15108
58	2012	15043
59	2042	14981
60	2075	14940
61	2108	14892
62	2140	14846
63	2168	14775
64	2211	14801
65	2249	14794
66	2288	14788
67	2324	14766
68	2364	14768
69	2393	14705
70	2430	14684
71	2460	14627
72	2499	14621
73	2533	14582
74	2568	14555
75	2601	14514
76	2638	14492
77	2667	14433
78	2703	14409
79	2732	14345
80	2764	14301
81	2795	14249
82	2832	14232
83	2867	14200
84	2901	14166
85	2940	14154
86	2973	14114
87	3004	14065
88	3032	14006
89	3071	13993
90	3099	13930
91	3137	13913
92	3168	13868
93	3203	13836
94	3236	13796
95	3270	13765
96	3300	13712
97	3343	13713
98	3381	13696
99	3417	13671
100	3449	13628
101	3484	13596
102	3527	13596
103	3563	13569
104	3590	13507
105	3619	13453
106	3654	13421
107	3686	13381
108	3716	13331
109	3749	13293
110	3779	13243
111	3812	13208
112	3844	13167
113	3875	13121
114	3911	13095
115	3940	13044
116	3972	13002
117	4009	12981
118	4041	12939
119	4073	12899
120	4109	12872
121	4138	12823
122	4170	12781
123	4204	12749
124	4241	12724
125	4278	12700
126	4314	12672
127	4347	12633
128	4378	12593
129	4415	12566
130	4443	12517
131	4479	12488
132	4521	12475
133	4554	12440
134	4588	12406
135	4622	12371
136	4652	12327
137	4689	12301
138	4723	12267
139	4753	12222
140	4789	12193
141	4822	12159
142	4857	12127
143	4896	12104
144	4932	12075
145	4963	12035
146	5000	12007
147	5034	11973
148	5069	11942
149	5102	11906
150	5129	11856
151	5157	11808
152	5191	11774
153	5223	11735
154	5258	11704
155	5293	11672
156	5325	11634
157	5357	11596
158	5391	11562
159	5418	11514
160	5448	11472
161	5481	11437
162	5513	11399
163	5544	11359
164	5578	11325
165	5614	11296
166	5643	11253
167	5676	11218
168	5710	11184
169	5747	11156
170	5776	11113
171	5815	11089
172	5850	11058
173	5876	11010
174	5914	10983
175	5942	10939
176	5979	10912
177	6012	10877
178	6041	10834
179	6074	10798
180	6111	10771
181	6144	10736
182	6180	10706
183	6212	10668
184	6240	10625
185	6277	10598
186	6315	10570
187	6346	10532
188	6383	10503
189	6419	10474
190	6454	10442
191	6486	10405
192	6517	10367
193	6551	10334
194	6578	10289
